10000	4725	3
4725	6805	4
4725	7523	4
4725	7524	10
4725	7673	2
4725	9352	3
4725	9356	8
4725	9368	2
4725	9599	1
4725	9601	10
4725	9614	4
4725	9618	9
4725	9997	3
4725	10000	5
4725	10006	9
4732	4983	8
4732	7690	6
4732	9354	1
4732	9356	6
4732	9357	10
4732	9368	6
4732	9380	8
4732	9601	9
4732	10000	8
4732	10001	5
4732	10002	1
4732	10003	10
4732	10004	10
4732	10011	2
4732	10019	5
4732	17514	5
4680	7524	4
4680	7526	3
4680	10001	8
7518	9351	8
7518	9354	7
7518	9363	8
7518	9613	4
7518	9615	5
7518	9997	3
7518	10002	9
7518	10003	4
7518	10011	4
7518	10019	7
4716	6461	5
4716	7512	2
4716	7514	4
4716	9352	10
4716	9359	3
4716	9602	9
4716	9671	1
4716	9999	2
4716	10006	5
4716	10009	4
4716	10018	4
3549	3557	1
3549	3561	2
3549	3563	7
3549	3742	9
3549	3786	2
3549	3846	7
3549	3900	1
3549	3914	7
3549	3931	2
3549	3967	3
3549	3976	3
3549	4006	1
3549	4039	9
3549	4183	2
3549	4200	1
3549	4211	1
3549	4230	5
3549	4258	1
3549	4323	9
3549	4355	8
3549	4436	1
3549	4492	2
3549	4513	9
3549	4550	2
3549	4565	2
3549	4637	7
3549	4648	4
3549	4675	2
3549	4678	9
3549	4685	6
3549	4693	10
3549	4725	8
3549	4755	7
3549	4766	3
3549	5000	5
3549	5033	7
3549	5097	1
3549	5401	7
3549	5430	10
3549	5459	7
3549	5511	3
3549	5650	5
3549	5651	8
3549	5668	9
3549	5684	1
3549	5705	9
3549	5727	9
3549	5738	6
3549	6066	8
3549	6079	1
3549	6095	4
3549	6123	2
3549	6140	3
3549	6172	1
3549	6220	6
3549	6221	8
3549	6259	3
3549	6325	7
3549	6347	9
3549	6358	6
3549	6371	2
3549	6395	3
3549	6402	7
3549	6427	7
3549	6453	7
3549	6461	9
3549	6467	1
3549	6469	5
3549	6484	9
3549	6555	6
3549	6576	2
3549	6716	9
3549	6762	9
3549	6785	8
3549	6841	3
3549	6950	6
3549	6954	6
3549	6967	4
3549	6993	6
3549	6999	5
3549	7010	9
3549	7018	2
3549	7055	5
3549	7091	2
3549	7138	4
3549	7141	3
3549	7170	2
3549	7176	10
3549	7194	1
3549	7232	4
3549	7296	1
3549	7321	7
3549	7351	3
3549	7473	3
3549	7503	1
3549	7514	7
3549	7518	3
3549	7673	6
3549	7683	10
3549	7686	5
3549	7770	6
3549	7837	8
3549	7883	2
3549	7908	6
3549	7911	5
3549	7922	3
3549	7930	2
3549	7936	5
3549	7960	6
3549	7976	5
3549	8001	9
3549	8002	4
3549	8011	8
3549	8057	8
3549	8070	4
3549	8120	7
3549	8259	1
3549	8297	2
3549	8327	3
3549	8723	10
3549	8731	2
3549	8881	2
3549	9057	2
3549	9145	8
3549	9167	1
3549	9211	9
3549	9304	3
3549	9370	4
3549	9595	10
3549	9603	10
3549	9607	3
3549	9609	7
3549	9610	10
3549	9680	10
3549	9824	5
3549	10007	2
3549	10240	3
3549	10265	7
3549	10310	6
3549	10325	5
3549	10381	7
3549	10487	3
3549	10514	7
3549	10627	8
3549	10663	8
3549	10673	8
3549	10732	9
3549	10759	6
3549	10860	8
3549	10910	6
3549	10911	2
3549	10913	9
3549	11022	10
3549	11023	8
3549	11042	4
3549	11135	7
3549	11162	8
3549	11192	1
3549	11206	5
3549	11220	8
3549	11325	3
3549	11333	8
3549	11378	3
3549	11388	8
3549	11443	2
3549	11456	3
3549	11480	4
3549	11588	2
3549	11638	1
3549	11656	7
3549	11669	10
3549	11674	2
3549	11680	3
3549	11711	2
3549	11731	10
3549	11767	9
3549	11783	9
3549	11803	9
3549	11841	3
3549	11880	10
3549	11881	4
3549	11899	4
3549	11913	2
3549	11935	7
3549	11992	6
3549	12012	9
3549	12050	3
3549	12077	10
3549	12092	8
3549	12114	8
3549	12117	4
3549	12156	5
3549	12158	5
3549	12220	9
3549	12235	9
3549	12236	2
3549	12731	2
3549	12781	8
3549	12956	4
3549	13003	7
3549	13009	3
3549	13108	2
3549	13129	2
3549	13163	2
3549	13207	10
3549	13219	3
3549	13328	7
3549	13344	4
3549	13345	6
3549	13405	2
3549	13423	6
3549	13468	9
3549	13525	8
3549	13526	10
3549	13543	10
